id,followingid
547764853,1208031495656550401
547764853,1088465377154220038
547764853,348768375
547764853,1292288262
547764853,1101447784283152385
547764853,2697206821
547764853,1025505437737779205
547764853,1161351445909782528
547764853,342216345
547764853,1101163426578157568
547764853,188490004
547764853,236233002
547764853,723527159231463424
547764853,4694205080
547764853,469478156
547764853,26689687
547764853,21098119
547764853,49634218
547764853,937545724090372097
547764853,324113145
547764853,43880222
547764853,58881215
547764853,10733302
547764853,21059542
547764853,52431629
547764853,18764776
547764853,15782633
547764853,19775920
547764853,40894553
547764853,24178302
547764853,973721899250397184
547764853,295692615
547764853,4187932924
547764853,2556705065
547764853,4801006740
547764853,2445594511
547764853,2762467792
547764853,964922059
547764853,2398261816
547764853,918086892
547764853,836428339225235456
547764853,973038137973846016
547764853,908646729419038720
547764853,47349654
547764853,46509671
547764853,738450443504914432
547764853,3087716435
547764853,2504078774
547764853,992199710411771904
547764853,23557157
547764853,405296691
547764853,3637491496
547764853,3296968409
547764853,3435056127
547764853,2883262581
547764853,2973582436
547764853,813537107083980801
547764853,3245470387
547764853,3279879588
547764853,895753315828588544
547764853,2910405530
547764853,2562881009
547764853,812698584407805953
547764853,4252338136
547764853,970196468656205824
547764853,4895505883
547764853,3071306369
547764853,995308683943927808
547764853,499450738
547764853,1003636349092745216
547764853,2311122643
547764853,3089674024
547764853,1654897584
547764853,1454094282
547764853,2629313049
547764853,779513149
547764853,712962076864544768
547764853,860680358949523458
547764853,759898808566153217
547764853,2344393717
547764853,766014611103617025
547764853,3308785611
547764853,2422848493
547764853,851938247232151554
547764853,1309087346
547764853,748196120778711040
547764853,2411066045
547764853,4176347232
547764853,917039897831182336
547764853,917543111500251136
547764853,906189951804551170
547764853,928080195625549824
547764853,2773367767
547764853,16774894
547764853,343503655
547764853,41123435
547764853,843546302566748160
547764853,3133414809
547764853,1271175631
547764853,39366585
547764853,891343094230249480
547764853,770750358
547764853,899643202222907393
547764853,16403943
547764853,896441566042173441
547764853,630378881
547764853,3233752519
547764853,726629265098285056
547764853,283101676
547764853,199044346
547764853,892878893715214337
547764853,3002058816
547764853,248228453
547764853,27366458
547764853,31093615
547764853,3285126187
547764853,723948318368370688
547764853,29143755
547764853,69964783
547764853,788968447682240512
547764853,125777025
547764853,84358766
547764853,782775415
547764853,72370276
547764853,254373945
547764853,766764875733434368
547764853,1140876422
547764853,5800582
547764853,16992150
547764853,252723137
547764853,24206235
547764853,20540031
547764853,21404171
547764853,38747193
547764853,26459251
547764853,29524339
547764853,28868918
547764853,19757471
547764853,332004695
547764853,1674464906
547764853,62086408
547764853,182965184
547764853,847503752512786432
547764853,857592811805450240
547764853,845101386060775424
547764853,309863706
547764853,2199957106
547764853,2317852124
547764853,176441275
547764853,111411572
547764853,17542705
547764853,27079708
547764853,15063139
547764853,19072472
547764853,1536791610
547764853,2273685228
547764853,783528221195247616
547764853,3266738936
547764853,481469367
547764853,839581747536887808
547764853,171975112
547764853,14563685
547764853,829895109374312448
547764853,567325499
547764853,449043936
547764853,27485909
547764853,334800184
547764853,333696827
547764853,415224125
547764853,14776283
547764853,22948692
547764853,3107992048
547764853,4665539336
547764853,776813600488853504
547764853,112479899
547764853,1347459350
547764853,18187774
547764853,53596673
547764853,326305389
547764853,46228517
547764853,243287822
547764853,191942869
547764853,44204341
547764853,1311319022
547764853,25629334
547764853,17049258
547764853,45112524
547764853,20106852
547764853,903162031
547764853,1382115997
547764853,1608678828
547764853,454544659
547764853,1219765842
547764853,558012314
547764853,2872925595
547764853,20495104
547764853,3002493208
547764853,38902531
547764853,30235884
547764853,36200893
547764853,2330801826
547764853,38609313
547764853,3313556678
547764853,738516760018571265
547764853,80700954
547764853,733792711921291266
547764853,731169710683885568
547764853,392493116
547764853,2820491389
547764853,722399630324023298
547764853,3067205294
547764853,2932950702
547764853,41512685
547764853,4217854143
547764853,1377463692
547764853,245473007
547764853,66561957
547764853,343132137
547764853,256573865
547764853,169686021
547764853,543122271
547764853,289585438
547764853,59949396
547764853,304679484
547764853,37305589
547764853,2316052740
547764853,407208982
547764853,3020540523
547764853,59266953
547764853,470425300
547764853,4625687418
547764853,4328851153
547764853,432669627
547764853,4097568784
547764853,3220642800
547764853,3951788055
547764853,1606475419
547764853,1020356491
547764853,59000154
547764853,76131466
547764853,370182582
547764853,582303715
547764853,143152270
547764853,3207107092
547764853,124928498
547764853,50346946
547764853,2428259736
547764853,2784868057
547764853,858928896
547764853,2261570461
547764853,15432119
547764853,55117855
547764853,19879313
547764853,69542069
547764853,18825961
547764853,152624048
547764853,19777398
547764853,24815314
547764853,24807616
547764853,2891327646
547764853,3302082025
547764853,157044462
547764853,403019937
547764853,2429362268
547764853,27711685
547764853,3195839667
547764853,20038221
547764853,30364057
547764853,23151437
547764853,22461427
547764853,15485441
547764853,23922282
547764853,75974281
547764853,35586563
547764853,21048669
547764853,1715051
547764853,43139414
547764853,413606585
547764853,1886686320
547764853,2414775048
547764853,122730021
547764853,266819783
547764853,3137694883
547764853,3234337326
547764853,3221503056
547764853,2252976408
547764853,273288519
547764853,381632368
547764853,587678295
547764853,3168413878
547764853,20346956
547764853,345552927
547764853,270134130
547764853,2245200340
547764853,2956057142
547764853,2815991109
547764853,2797222539
547764853,22262220
547764853,338537731
547764853,240123036
547764853,21336769
547764853,3106851742
547764853,30950136
547764853,3105612324
547764853,60983046
547764853,2722174921
547764853,1510905212
547764853,16648790
547764853,17602585
547764853,554466570
547764853,112605787
547764853,904667300
547764853,2334366985
547764853,189252968
547764853,29450962
547764853,2842380755
547764853,1636692216
547764853,603638209
547764853,175932631
547764853,178177564
547764853,2568862439
547764853,2369204738
547764853,54766919
547764853,15900167
547764853,18531493
547764853,2971038080
547764853,37093178
547764853,23027648
547764853,1395090986
547764853,17878322
547764853,69367470
547764853,380730306
547764853,2955596087
547764853,16672159
547764853,290736635
547764853,502135911
547764853,100558913
547764853,27698202
547764853,512613427
547764853,12844642
547764853,63858347
547764853,2839067723
547764853,291979559
547764853,1132994426
547764853,1712588198
547764853,19039467
547764853,270063854
547764853,241382835
547764853,116034884
547764853,19518113
547764853,56705653
547764853,39288259
547764853,1095635868
547764853,2271058113
547764853,2246255382
547764853,60115906
547764853,61432562
547764853,237147973
547764853,279247689
547764853,23827692
547764853,2480936172
547764853,2737933265
547764853,1948294874
547764853,703916353
547764853,552745397
547764853,1242070536
547764853,26681152
547764853,67370542
547764853,309450660
547764853,392419417
547764853,87518270
547764853,25757647
547764853,1157535032
547764853,1702892816
547764853,2243142390
547764853,831465187
547764853,138600717
547764853,50826280
547764853,24795163
547764853,30734516
547764853,66309985
547764853,216086468
547764853,759723986
547764853,239459255
547764853,1173622044
547764853,266957753
547764853,435348569
547764853,2664358725
547764853,317370751
547764853,64929124
547764853,365854151
547764853,557610799
547764853,2200401781
547764853,96846955
547764853,16912794
547764853,18713254
547764853,40306315
547764853,26127836
