id,followerid
547764853,1534820407
547764853,839556669432598528
547764853,1267495079192772609
547764853,105021011
547764853,1208031495656550401
547764853,2330801826
547764853,1452339517
547764853,289585438
547764853,1185385112369795072
547764853,58686692
547764853,1025505437737779205
547764853,1161351445909782528
547764853,48632247
547764853,1146517544481804288
547764853,1140683448958537728
547764853,1101447784283152385
547764853,827423845
547764853,2352469308
547764853,993557736
547764853,2273685228
547764853,1088465377154220038
547764853,1085410379084296192
547764853,1074868477968744453
547764853,1074656521244606464
547764853,1070107145943814146
547764853,1068656179344232448
547764853,248228453
547764853,883419202153000961
547764853,1052981936065585153
547764853,2697206821
547764853,2562881009
547764853,124515015
547764853,722998894401998848
547764853,1038236913348567042
547764853,1034150796680736770
547764853,4694205080
547764853,1019793085084131333
547764853,908291759414837248
547764853,3437718809
547764853,973721899250397184
547764853,2278283060
547764853,23557157
547764853,292961488
547764853,987168707888611328
547764853,961407257245290496
547764853,1006285794837975040
547764853,4801006740
547764853,964922059
547764853,2445594511
547764853,844563142256545797
547764853,851938247232151554
547764853,918086892
547764853,908646729419038720
547764853,2883262581
547764853,3087716435
547764853,3937661475
547764853,4421569415
547764853,964675371844145152
547764853,860680358949523458
547764853,738450443504914432
547764853,813537107083980801
547764853,4252338136
547764853,3296968409
547764853,2973582436
547764853,2910405530
547764853,3279879588
547764853,895753315828588544
547764853,812698584407805953
547764853,992199710411771904
547764853,766014611103617025
547764853,2311122643
547764853,2629313049
547764853,499450738
547764853,712962076864544768
547764853,2344393717
547764853,995308683943927808
547764853,759898808566153217
547764853,779513149
547764853,1003636349092745216
547764853,1654897584
547764853,1454094282
547764853,748196120778711040
547764853,990616809849094144
547764853,28552832
547764853,2684534602
547764853,38609313
547764853,4176347232
547764853,2773367767
547764853,18921433
547764853,16774894
547764853,843546302566748160
547764853,783528221195247616
547764853,914441931312320512
547764853,820007607104585728
547764853,891343094230249480
547764853,2411066045
547764853,899643202222907393
547764853,896441566042173441
547764853,394914949
547764853,2805482769
547764853,27366458
547764853,1140876422
547764853,878036802036273153
547764853,874677464081018880
547764853,871728792242409472
547764853,16992150
547764853,845101386060775424
547764853,59000154
547764853,24206235
547764853,860152298198249472
547764853,857592811805450240
547764853,844515417716473857
547764853,29143755
547764853,841467427154083840
